127.0.0.1 - - [26/Jan/2024:08:47:31 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:47:45 +0900] "GET /starbucks-notice/ HTTP/1.1" 200 15300
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:47:45 +0900] "GET /starbucks-notice/css/main.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:47:45 +0900] "GET /starbucks-notice/js/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:47:56 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 16989
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:47:56 +0900] "GET /starbucks-notice/css/notice.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:48:30 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 16989
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:52:22 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17189
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:53:39 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17202
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:54:31 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17215
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:54:32 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16655
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:54:32 +0900] "GET /starbucks-notice/css/post.css HTTP/1.1" 200 1080
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:57:11 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:57:12 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:57:14 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17215
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:57:16 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:57:21 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17215
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:57:24 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:57:42 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17215
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:20 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17215
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:22 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17215
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:24 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17215
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:24 +0900] "GET /starbucks-notice/js/jquery-3.7.1.min.js HTTP/1.1" 200 87533
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:24 +0900] "GET /starbucks-notice/css/notice.css HTTP/1.1" 200 60
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:24 +0900] "GET /starbucks-notice/css/reset.css HTTP/1.1" 200 1139
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:24 +0900] "GET /starbucks-notice/images/starbucks_logo.png HTTP/1.1" 200 9826
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:24 +0900] "GET /starbucks-notice/css/main.css HTTP/1.1" 200 12352
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:24 +0900] "GET /starbucks-notice/js/main.js HTTP/1.1" 200 3313
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:25 +0900] "GET /starbucks-notice/images/favicon.ico HTTP/1.1" 200 34494
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:28 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17230
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:32 +0900] "GET /starbucks-notice/index.jsp HTTP/1.1" 200 15300
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:38 +0900] "GET /starbucks-notice/index.jsp HTTP/1.1" 200 15300
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:40 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17230
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:45 +0900] "GET /starbucks-notice/ HTTP/1.1" 200 15300
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:58:50 +0900] "GET /starbucks-notice/ HTTP/1.1" 200 15300
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:59:18 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17226
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:59:19 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17226
0:0:0:0:0:0:0:1 - - [26/Jan/2024:08:59:27 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:00:24 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:05:56 +0900] "GET /starbucks-notice/index.jsp HTTP/1.1" 200 15289
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:05:58 +0900] "GET /starbucks-notice/post.jsp?num=1 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:06:04 +0900] "GET /starbucks-notice/post.jsp?num=8 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:06:08 +0900] "GET /starbucks-notice/post.jsp?num=10 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:06:12 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17226
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:07:24 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17280
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:07:26 +0900] "GET /starbucks-notice/post.jsp?num=1 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:07:28 +0900] "GET /starbucks-notice/post.jsp?num=8 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:07:30 +0900] "GET /starbucks-notice/post.jsp?num=10 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:07:33 +0900] "GET /starbucks-notice/post.jsp?num=11 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:07:35 +0900] "GET /starbucks-notice/post.jsp HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:10:09 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17286
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:10:10 +0900] "GET /starbucks-notice/post.jsp?num=0 HTTP/1.1" 200 16693
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:15:53 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17286
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:15:55 +0900] "GET /starbucks-notice/post.jsp?num=0 HTTP/1.1" 200 16745
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:15:58 +0900] "GET /starbucks-notice/post.jsp?num=1 HTTP/1.1" 200 15665
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:16:00 +0900] "GET /starbucks-notice/post.jsp?num=8 HTTP/1.1" 200 15665
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:16:03 +0900] "GET /starbucks-notice/post.jsp?num=10 HTTP/1.1" 200 15665
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:16:05 +0900] "GET /starbucks-notice/post.jsp?num=11 HTTP/1.1" 200 15665
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:58 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2727
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:58 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:36:58 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:22 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:22 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:55 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2779
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:37:55 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:38:14 +0900] "GET /BOARD/index.html HTTP/1.1" 404 827
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:38:19 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2761
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:38:19 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:41:07 +0900] "GET /starbucks-notice/post.jsp?num=0 HTTP/1.1" 200 16745
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:47:31 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 1851
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:47:31 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:48:01 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:50:12 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2714
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:50:12 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:51:09 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2933
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:51:09 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:51:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:52:33 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2769
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:52:33 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 200 6078
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:52:33 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:53:06 +0900] "GET /starbucks-notice/notice.jsp HTTP/1.1" 200 17286
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:54:12 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2915
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:54:20 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2911
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:54:20 +0900] "GET /starbucks-notice/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2024:09:56:15 +0900] "GET /starbucks-notice/adminNotice.jsp HTTP/1.1" 200 2769
